prox.horizontal[0] ," prox.horizontal[1]" ," prox.horizontal[2]" ," prox.horizontal[3]" ," prox.horizontal[4]" ," prox.horizontal[5]" ," prox.horizontal[6]" , "timestamp"
0.000000,1734.000000,2248.000000,0.000000,0.000000,0.000000,0.000000,34994.000000
0.000000,1690.000000,2189.000000,0.000000,0.000000,0.000000,0.000000,35149.000000
0.000000,1607.000000,2119.000000,0.000000,0.000000,0.000000,0.000000,35303.000000
0.000000,1377.000000,1958.000000,0.000000,0.000000,0.000000,0.000000,35451.000000
0.000000,1224.000000,1874.000000,0.000000,0.000000,0.000000,0.000000,35602.000000
0.000000,0.000000,1791.000000,0.000000,0.000000,0.000000,0.000000,35745.000000
0.000000,0.000000,1619.000000,0.000000,0.000000,0.000000,0.000000,35884.000000
0.000000,0.000000,1621.000000,0.000000,0.000000,0.000000,0.000000,36034.000000
0.000000,0.000000,1616.000000,0.000000,0.000000,0.000000,0.000000,36187.000000
0.000000,0.000000,1623.000000,0.000000,0.000000,0.000000,0.000000,36486.000000
0.000000,0.000000,1617.000000,0.000000,0.000000,0.000000,0.000000,36631.000000
0.000000,0.000000,1620.000000,0.000000,0.000000,0.000000,0.000000,36789.000000
0.000000,0.000000,1623.000000,0.000000,0.000000,0.000000,0.000000,37105.000000
0.000000,0.000000,1619.000000,0.000000,0.000000,0.000000,0.000000,37251.000000
0.000000,0.000000,1620.000000,0.000000,0.000000,0.000000,0.000000,37391.000000
0.000000,0.000000,1619.000000,0.000000,0.000000,0.000000,0.000000,37822.000000
0.000000,0.000000,1624.000000,0.000000,0.000000,0.000000,0.000000,37953.000000
0.000000,0.000000,1618.000000,0.000000,0.000000,0.000000,0.000000,38089.000000
0.000000,0.000000,1622.000000,0.000000,0.000000,0.000000,0.000000,38217.000000
0.000000,0.000000,1620.000000,0.000000,0.000000,0.000000,0.000000,38365.000000
0.000000,0.000000,1619.000000,0.000000,0.000000,0.000000,0.000000,38510.000000
0.000000,0.000000,1623.000000,0.000000,0.000000,0.000000,0.000000,38651.000000
0.000000,0.000000,1620.000000,0.000000,0.000000,0.000000,0.000000,38802.000000
0.000000,0.000000,1622.000000,0.000000,0.000000,0.000000,0.000000,38938.000000
0.000000,0.000000,1625.000000,0.000000,0.000000,0.000000,0.000000,39105.000000
0.000000,0.000000,1622.000000,0.000000,0.000000,0.000000,0.000000,39237.000000
0.000000,0.000000,1617.000000,0.000000,0.000000,0.000000,0.000000,39396.000000
0.000000,0.000000,1623.000000,0.000000,0.000000,0.000000,0.000000,40110.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40250.000000
